message,urgency
"There have been repeated complaints about the condition of the sidewalks in downtown areas, which are uneven and cracked.",4.0
"The water pressure in our apartment building has been low for weeks. It's not an emergency, but it's annoying.",3.0
The recent increase in graffiti on public buildings is a sign that the community needs more youth engagement programs.,3.0
"A leaking water main on Maple Avenue has been reported several times but remains unrepaired, causing flooding and damage to property.",5.0
"There have been repeated issues with the condition of the sidewalks around the downtown area, which are often uneven and hazardous.",4.0
"Complaints about the lack of maintenance of public parks have been frequent, with many facilities in disrepair.",4.0
Residents have reported that the new public bike rental system is confusing and often results in rentals being denied without clear reasons.,4.0
"A tree on the corner of Oak and Elm is leaning precariously. It's not a blockage yet, but I fear it might become one soon.",3.0
"The heating system in the city hall is not working properly, leaving the building chilly.",4.0
The public water fountains at the park are not working. They're an essential part of our daily walks with our dog.,4.0
Local residents have expressed frustration with the lack of public consultation on urban planning decisions that affect their daily lives.,4.0
The fountain at the city center has not been operational for over a month. It was last repaired in 2015.,3.0
"Residents have reported significant delays in processing applications for building permits, leading to frustration and economic losses for homeowners and businesses.",5.0
"The community garden has been overgrown with weeds, which is spoiling the view and making it hard to access.",3.0
"The public pools have been closed for maintenance for over a month, disrupting local families' recreational activities.",4.0
"Residents have expressed frustration with the lack of maintenance of community facilities, which have fallen into disrepair.",4.0
The playground at Park A is outdated and not safe for children. The equipment is old and broken.,3.0
"Local schools are underfunded, leading to outdated facilities and inadequate resources for students.",4.0
"The community garden's water hose has a slow leak. It's not urgent, but it's wasting water.",2.0
"The lack of regular cleaning of public water fountains is discouraging their use, leading to environmental concerns.",4.0
"Residents have reported issues with the maintenance of public parks, with many facilities in disrepair.",5.0
"The new bus schedules have not been updated on the city's website, causing confusion for commuters.",3.0
There has been a lack of response from the city regarding the condition of the swimming pool at the community center.,2.0
"Local residents have expressed frustration with the lack of enforcement of parking regulations near schools, leading to unsafe conditions for children.",4.0
"Residents have complained about the lack of maintenance of public parks, which are often overgrown and littered.",4.0
A large pothole on the way to work has been there for months with no repair. It's becoming a serious safety issue.,5.0
"Complaints about the noise from construction sites in residential areas have been frequent, with residents seeking better control from the council.",4.0
The public library's book selection for adults is quite outdated and does not cater to modern literary trends.,4.0
The community garden on 5th Street has been overgrown with weeds. It's hard to see the flowers under all the greenery.,3.0
