Message,Category,Urgency
"The street light outside my house on Cedar Avenue has been flickering for over three weeks now, creating not only a nuisance at night but also a safety concern for pedestrians. It would be great if this could be fixed to avoid any potential accidents.","Highways, traffic and parking",3
"The garbage collection in our neighborhood has been missed for the second consecutive week. The overflowing bins are causing a health hazard and attracting rodents, which is concerning for the residents.","Environment, planning, parks, cemeteries and waste",4
"There is a large pothole developing on the main road near the local school, which is extremely dangerous for the commuting school buses. The hole seems to be getting worse with the recent rains and needs urgent attention.","Highways, traffic and parking",5
"Our heating system in the council housing on Spruce Street has been malfunctioning since last Tuesday. It's becoming unbearable, especially for the elderly, and we urgently need repairs as the temperature continues to drop.",Housing,5
"A significant tree limb has fallen and is now obstructing the pathway on West Elm Street. This blockage forces pedestrians to step onto the road to get around it, which could lead to dangerous situations with the traffic.","Environment, planning, parks, cemeteries and waste",3
"The lighting in the public library's main reading room is insufficient and makes it difficult for patrons to read comfortably. It has been this way for a few months, and many of us hope it can be improved to enhance our reading experience.","Sports, leisure and libraries",2
Several street signs at the corner of Pine and Orchard have been knocked down likely due to the recent storms. This has led to some confusion and near misses as drivers do not know which way to yield.,"Highways, traffic and parking",3
"There has been a series of disturbances from the new nightclub on Baker Street. Loud music and shouting can be heard well into the early morning hours, disrupting the sleep of many residents in the area.",Business,4
Recent weeks have seen an increase in graffiti and vandalism around the local community center on Maple Road. This issue appears to be ignored by the local authorities and needs to be addressed to maintain the community's safety and aesthetics.,Community safety,3
"I submitted an application for council tax relief three weeks ago and have not yet received any update on the process. The lack of communication is troubling, and I need some assurance that my application is being processed.",Council Tax and benefits,2
"Residents of the Cherry Grove estate are facing continuous disruptions due to ongoing roadworks which seem to have no end. The noise and dust from the construction are affecting our daily lives, and we seek clarity on when this will finally be resolved.","Highways, traffic and parking",2
The lack of adequate child play areas in our district is becoming a concern for many parents. The few available spaces are either poorly maintained or not safe for children. It's crucial for the community's wellbeing that these facilities be improved.,Children's services,3
The newly installed benches in Riverside Park are already showing signs of wear and tear—possibly due to poor material choice or vandalism. This needs to be addressed to maintain the area's appeal and safety.,"Environment, planning, parks, cemeteries and waste",2
"There is a water leak on the corner of 8th and Main that has been worsening over the last few days. It's causing a small flood on the roadway, which could potentially freeze and lead to dangerous driving conditions.","Highways, traffic and parking",4
I've noticed a significant increase in rats around the public trash bins on 3rd Avenue. More frequent trash collection or better-sealed bins might solve this public health issue.,"Environment, planning, parks, cemeteries and waste",4
"The crosswalk signals at the intersection of Pine and Elm are malfunctioning, with the walk signal not activating. This poses a risk to pedestrians, especially school children.","Highways, traffic and parking",5
"Residents near the downtown construction site have been experiencing almost constant noise, even late at night. Can anything be done to ensure that the construction adheres to the noise regulations?",Community safety,4
The public toilets in Highland Park have been out of service for over two weeks. This is particularly inconvenient for families with small children and the elderly.,"Environment, planning, parks, cemeteries and waste",3
